NumItems,TimeTaken(s),InstancePath
60,DNF,instances/mochila_chica_n60_no_conflict.txt
30,DNF,instances/mochila_chica_n30_no_conflict.txt
40,DNF,instances/mochila_chica_n40_no_conflict.txt
40,0.11,instances/mochila_apretada_n40_no_conflict.txt
30,286.72,instances/costo_peso_correlaciona_n30_star.txt
20,0.09,instances/mochila_apretada_n20_no_conflict.txt
70,0.23,instances/mochila_apretada_n70_no_conflict.txt
36,DNF,instances/costo_peso_correlaciona_n36_star.txt
30,0.56,instances/costo_peso_correlaciona_n30_cycle.txt
30,0.09,instances/mochila_apretada_n30_no_conflict.txt
32,0.99,instances/costo_peso_correlaciona_n32_cycle.txt
100,DNF,instances/mochila_chica_n100_no_conflict.txt
70,DNF,instances/mochila_chica_n70_no_conflict.txt
10,0.12,instances/mochila_chica_n10_no_conflict.txt
60,0.23,instances/mochila_apretada_n60_no_conflict.txt
90,DNF,instances/mochila_chica_n90_no_conflict.txt
28,24.59,instances/costo_peso_correlaciona_n28_star.txt
10,0.09,instances/mochila_apretada_n10_no_conflict.txt
80,0.60,instances/mochila_apretada_n80_no_conflict.txt
20,9.05,instances/mochila_chica_n20_no_conflict.txt
40,DNF,instances/costo_peso_correlaciona_n40_star.txt
20,0.57,instances/costo_peso_correlaciona_n20_star.txt
26,0.41,instances/costo_peso_correlaciona_n26_cycle.txt
28,0.49,instances/costo_peso_correlaciona_n28_cycle.txt
24,0.26,instances/costo_peso_correlaciona_n24_cycle.txt
50,0.15,instances/mochila_apretada_n50_no_conflict.txt
22,4.19,instances/costo_peso_correlaciona_n22_star.txt
40,2.73,instances/costo_peso_correlaciona_n40_cycle.txt
